scenario,proof_time,verification_time,attack_success
aegis_spoof,2.772770,0.006407,0
aegis_spoof,2.640579,0.006350,0
aegis_spoof,3.598545,0.019056,0
aegis_spoof,2.557914,0.001000,0
aegis_spoof,3.150065,0.004657,0
aegis_spoof,3.063068,0.006741,0
aegis_spoof,3.902999,0.009897,0
aegis_spoof,3.025709,0.014811,0
aegis_spoof,1.623316,0.007117,0
aegis_spoof,2.101511,0.021094,0
aegis_spoof,4.517215,0.009704,0
aegis_spoof,2.326153,0.009356,0
aegis_spoof,2.196988,0.005488,0
aegis_spoof,2.070850,0.013827,0
aegis_spoof,2.513974,0.012780,0
aegis_spoof,2.139086,0.011733,0
aegis_spoof,2.575330,0.007258,0
aegis_spoof,2.715811,0.016400,0
aegis_spoof,2.427017,0.014858,0
aegis_spoof,1.959546,0.005726,0
aegis_spoof,2.232544,0.011693,0
aegis_spoof,3.376183,0.018654,0
aegis_spoof,2.837808,0.011262,0
aegis_spoof,2.695895,0.014228,0
aegis_spoof,1.810823,0.013411,0
aegis_spoof,3.081115,0.008945,0
aegis_spoof,2.464144,0.002624,0
aegis_spoof,2.343857,0.005763,0
aegis_spoof,2.026204,0.006909,0
aegis_spoof,2.648165,0.004325,0
aegis_spoof,2.882213,0.012073,0
aegis_spoof,2.798441,0.011865,0
aegis_spoof,2.701439,0.002029,0
aegis_spoof,2.978558,0.008140,0
aegis_spoof,2.895362,0.001746,0
aegis_spoof,2.513862,0.005489,0
aegis_spoof,2.346350,0.014752,0
aegis_spoof,3.564682,0.001000,0
aegis_spoof,2.947284,0.008225,0
aegis_spoof,4.000075,0.015849,0
aegis_spoof,3.370746,0.011786,0
aegis_spoof,3.826387,0.009037,0
aegis_spoof,3.152197,0.007304,0
aegis_spoof,1.840726,0.002342,0
aegis_spoof,3.593652,0.010347,0
aegis_spoof,2.314806,0.007208,0
aegis_spoof,3.000810,0.010254,0
aegis_spoof,3.157842,0.011619,0
aegis_spoof,3.139131,0.016728,0
aegis_spoof,2.719875,0.005211,0
aegis_spoof,3.768783,0.012851,0
aegis_spoof,1.754290,0.005083,0
aegis_spoof,2.659964,0.013728,0
aegis_spoof,2.667411,0.009807,0
aegis_spoof,2.558834,0.006269,0
aegis_spoof,3.808167,0.006364,0
aegis_spoof,3.002747,0.007612,0
aegis_spoof,2.071421,0.005404,0
aegis_spoof,1.973273,0.006013,0
aegis_spoof,3.080220,0.018413,0
aegis_spoof,2.895027,0.016410,0
aegis_spoof,5.035708,0.008285,0
aegis_spoof,2.400955,0.013131,0
aegis_spoof,2.739526,0.013177,0
aegis_spoof,2.990081,0.011182,0
aegis_spoof,2.974012,0.003410,0
aegis_spoof,2.161920,0.004926,0
aegis_spoof,2.535665,0.005268,0
aegis_spoof,3.739031,0.019743,0
aegis_spoof,2.787215,0.006036,0
aegis_spoof,2.918002,0.007410,0
aegis_spoof,2.816670,0.002596,0
aegis_spoof,2.978958,0.007980,0
aegis_spoof,3.125298,0.008866,0
aegis_spoof,2.551702,0.001000,0
aegis_spoof,3.753387,0.002403,0
aegis_spoof,3.395085,0.024032,0
aegis_spoof,2.847110,0.007334,0
aegis_spoof,2.254068,0.009290,0
aegis_spoof,2.419465,0.004382,0
aegis_spoof,2.306431,0.009374,0
aegis_spoof,3.226339,0.007936,0
aegis_spoof,2.873867,0.009267,0
aegis_spoof,3.959462,0.005869,0
aegis_spoof,2.031961,0.002726,0
aegis_spoof,2.829591,0.007888,0
aegis_spoof,2.879020,0.015558,0
aegis_spoof,2.067737,0.014319,0
aegis_spoof,3.220079,0.009727,0
aegis_spoof,2.850174,0.016804,0
aegis_spoof,3.013746,0.010594,0
aegis_spoof,3.201354,0.008174,0
aegis_spoof,3.302828,0.009545,0
aegis_spoof,3.183893,0.014015,0
aegis_spoof,3.229837,0.010363,0
aegis_spoof,3.457470,0.009908,0
aegis_spoof,2.038198,0.010167,0
aegis_spoof,2.904880,0.008717,0
aegis_spoof,2.747047,0.001000,0
aegis_spoof,2.379019,0.000642,0
aegis_spoof,3.169950,0.018942,0
aegis_spoof,2.589501,0.019007,0
aegis_spoof,4.333237,0.015155,0
aegis_spoof,2.395187,0.010061,0
aegis_spoof,1.507882,0.014055,0
aegis_spoof,2.493175,0.009082,0
aegis_spoof,2.914881,0.012038,0
aegis_spoof,2.332339,0.015743,0
aegis_spoof,3.130086,0.015369,0
aegis_spoof,2.228708,0.008881,0
aegis_spoof,2.293133,0.011823,0
aegis_spoof,2.476281,0.006866,0
aegis_spoof,2.200593,0.010299,0
aegis_spoof,3.438517,0.017367,0
aegis_spoof,2.752310,0.006284,0
aegis_spoof,2.936320,0.007064,0
aegis_spoof,1.619713,0.014377,0
aegis_spoof,2.194758,0.005542,0
aegis_spoof,2.625820,0.012393,0
aegis_spoof,3.186200,0.011373,0
aegis_spoof,2.313018,0.012895,0
aegis_spoof,4.326263,0.001000,0
aegis_spoof,3.018216,0.009882,0
aegis_spoof,1.886731,0.001000,0
aegis_spoof,3.701073,0.004209,0
aegis_spoof,3.557981,0.025252,0
aegis_spoof,1.512690,0.015898,0
aegis_spoof,3.649468,0.004619,0
aegis_spoof,2.639795,0.009405,0
aegis_spoof,2.730812,0.014943,0
aegis_spoof,1.991274,0.007206,0
aegis_spoof,3.375063,0.014638,0
aegis_spoof,3.748435,0.006233,0
aegis_spoof,3.522996,0.005336,0
aegis_spoof,1.938484,0.006774,0
aegis_spoof,3.760439,0.003474,0
aegis_spoof,3.423821,0.019598,0
aegis_spoof,3.072624,0.011387,0
aegis_spoof,1.957214,0.003994,0
aegis_spoof,2.827295,0.012266,0
aegis_spoof,2.512545,0.009445,0
aegis_spoof,3.071584,0.008838,0
aegis_spoof,3.051321,0.012550,0
aegis_spoof,2.366703,0.017764,0
aegis_spoof,2.786521,0.000717,0
aegis_spoof,2.212692,0.010158,0
aegis_spoof,1.899165,0.015319,0
aegis_spoof,2.777715,0.017344,0
aegis_spoof,3.323758,0.001558,0
aegis_spoof,3.830382,0.003880,0
aegis_spoof,2.606352,0.008124,0
aegis_spoof,2.731576,0.013013,0
aegis_spoof,2.911531,0.011995,0
