scenario,proof_time,verification_time,attack_success
aegis_spoof,4.528973,0.007072,0
aegis_spoof,3.270423,0.006654,0
aegis_spoof,2.399142,0.015800,0
aegis_spoof,4.201663,0.002648,0
aegis_spoof,2.176545,0.008666,0
aegis_spoof,2.879593,0.005994,0
aegis_spoof,3.714722,0.005691,0
aegis_spoof,2.638015,0.004932,0
aegis_spoof,2.133656,0.014011,0
aegis_spoof,2.640513,0.014942,0
aegis_spoof,2.689927,0.009543,0
aegis_spoof,3.197014,0.018188,0
aegis_spoof,2.481365,0.009788,0
aegis_spoof,2.468314,0.011067,0
aegis_spoof,2.700959,0.005823,0
aegis_spoof,3.214416,0.008696,0
aegis_spoof,2.203995,0.011526,0
aegis_spoof,3.365532,0.015348,0
aegis_spoof,2.235919,0.006374,0
aegis_spoof,3.234853,0.013496,0
aegis_spoof,2.607945,0.014391,0
aegis_spoof,2.789767,0.010683,0
aegis_spoof,3.252264,0.016319,0
aegis_spoof,1.977071,0.008337,0
aegis_spoof,2.483308,0.008401,0
aegis_spoof,2.908071,0.009734,0
aegis_spoof,2.543068,0.004188,0
aegis_spoof,3.655702,0.013089,0
aegis_spoof,2.494038,0.006196,0
aegis_spoof,3.565368,0.012249,0
aegis_spoof,2.034017,0.001000,0
aegis_spoof,3.960978,0.010285,0
aegis_spoof,2.379324,0.012110,0
aegis_spoof,2.302749,0.011650,0
aegis_spoof,2.452829,0.010470,0
aegis_spoof,2.759446,0.005519,0
aegis_spoof,4.356097,0.017085,0
aegis_spoof,3.907985,0.007571,0
aegis_spoof,2.814419,0.013110,0
aegis_spoof,2.868937,0.005742,0
aegis_spoof,3.155299,0.004605,0
aegis_spoof,2.731048,0.009737,0
aegis_spoof,3.421342,0.013964,0
aegis_spoof,2.701827,0.002289,0
aegis_spoof,1.897513,0.009326,0
aegis_spoof,3.848831,0.016713,0
aegis_spoof,3.108226,0.009791,0
aegis_spoof,2.561228,0.010844,0
aegis_spoof,3.458199,0.017009,0
aegis_spoof,3.645830,0.020408,0
aegis_spoof,2.880714,0.011890,0
aegis_spoof,3.453628,0.017754,0
aegis_spoof,3.711446,0.007017,0
aegis_spoof,4.078355,0.015044,0
aegis_spoof,3.896435,0.006205,0
aegis_spoof,2.138522,0.010925,0
aegis_spoof,2.790265,0.008226,0
aegis_spoof,2.488894,0.016995,0
aegis_spoof,3.030585,0.004817,0
aegis_spoof,2.860667,0.005316,0
aegis_spoof,2.588709,0.014044,0
aegis_spoof,2.650094,0.012272,0
aegis_spoof,2.331584,0.014470,0
aegis_spoof,2.792481,0.006869,0
aegis_spoof,2.305417,0.008091,0
aegis_spoof,3.004653,0.007117,0
aegis_spoof,3.011829,0.009967,0
aegis_spoof,3.621820,0.013052,0
aegis_spoof,3.972461,0.004480,0
aegis_spoof,2.832188,0.008052,0
aegis_spoof,1.938893,0.013131,0
aegis_spoof,2.205263,0.003253,0
aegis_spoof,2.188125,0.018909,0
aegis_spoof,1.995432,0.008358,0
aegis_spoof,3.443182,0.010769,0
aegis_spoof,2.232458,0.009439,0
aegis_spoof,2.406179,0.009327,0
aegis_spoof,2.319433,0.001000,0
aegis_spoof,2.010819,0.005288,0
aegis_spoof,1.721466,0.012042,0
aegis_spoof,3.110982,0.010508,0
aegis_spoof,3.696595,0.024494,0
aegis_spoof,2.279131,0.014420,0
aegis_spoof,2.478360,0.011312,0
aegis_spoof,3.089528,0.018222,0
aegis_spoof,2.170648,0.012486,0
aegis_spoof,3.464098,0.006999,0
aegis_spoof,2.620924,0.018963,0
aegis_spoof,2.522634,0.014672,0
aegis_spoof,4.501341,0.013831,0
aegis_spoof,3.181173,0.000206,0
aegis_spoof,2.510102,0.016906,0
aegis_spoof,3.237189,0.013907,0
aegis_spoof,3.598027,0.008641,0
aegis_spoof,2.386591,0.009757,0
aegis_spoof,2.109362,0.015051,0
aegis_spoof,2.425256,0.009648,0
aegis_spoof,3.141720,0.005352,0
aegis_spoof,2.689288,0.012349,0
aegis_spoof,3.722374,0.017903,0
aegis_spoof,2.095688,0.007742,0
aegis_spoof,2.649884,0.020805,0
aegis_spoof,2.342092,0.008596,0
aegis_spoof,3.395928,0.015112,0
aegis_spoof,3.117559,0.017683,0
aegis_spoof,2.970316,0.015332,0
aegis_spoof,3.862984,0.008495,0
aegis_spoof,2.860860,0.006940,0
aegis_spoof,3.911561,0.004832,0
aegis_spoof,3.042491,0.004608,0
aegis_spoof,3.841441,0.009098,0
aegis_spoof,2.544423,0.007975,0
aegis_spoof,2.325626,0.022250,0
aegis_spoof,2.290307,0.003901,0
aegis_spoof,3.132329,0.005034,0
aegis_spoof,3.259868,0.002060,0
aegis_spoof,2.507354,0.009442,0
